26, -1, -26, 39.96950244, 2
7, -4, -28, 29.054717509999964, 2
18, -2, -27, 77.05338591499986, 4
19, -2, -21, 39.65459209499999, 2
8, -4, -7, 71.59489129000004, 3
13, -3, -6, 14.218850355000006, 1
0, -5, -7, 39.986239105, 2
1, -5, -6, 39.54909053999997, 2
2, -5, -5, 58.43374921999999, 3
3, -5, -1, 37.54917984499998, 2
39, 1, -10, 13.695497830000015, 1
38, 1, -13, 86.299224785, 4
162, 33, -14, 21.558988354999993, 1
209, 46, -50, 15.87964090000001, 1
213, 47, -55, 14.16362900999997, 1
295, 65, -55, 71.73545553499987, 3
333, 74, -55, 85.80818156499998, 4
352, 77, -55, 86.06545854999999, 4
356, 79, -55, 60.45463144999987, 3
404, 91, -55, 34.04488933000004, 2
396, 88, -54, 38.332437580000025, 2
296, 65, -54, 13.695497830000015, 1
233, 51, -53, 38.332437580000025, 2
307, 68, -53, 14.48939965500001, 1
319, 71, -52, 41.26948212999994, 2
251, 54, -52, 51.66796179000004, 3
225, 50, -51, 13.513012160000011, 1
308, 68, -50, 75.60379922499999, 3
325, 72, -51, 14.244540284999996, 1
334, 74, -51, 21.820863835000015, 1
377, 84, -50, 17.10815542000001, 1
368, 82, -50, 44.50218362999995, 2
343, 75, -50, 13.254242750000008, 1
384, 85, -49, 85.27898683, 4
385, 85, -45, 35.484495339999945, 2
388, 86, -44, 78.28742199499985, 4
332, 73, -47, 36.50556494500006, 2
265, 58, -50, 56.82089246500017, 3
239, 52, -50, 83.48833002999993, 4
320, 71, -47, 13.87249999000002, 1
288, 63, -47, 59.345242895, 3
217, 48, -47, 57.685154469999944, 3
283, 62, -47, 13.513012160000011, 1
214, 47, -47, 36.38676726000006, 2
321, 71, -44, 15.04809383000002, 1
313, 69, -43, 13.288356055000017, 1
270, 59, -44, 14.246535970000014, 1
260, 56, -44, 38.896815885000024, 2
240, 52, -43, 37.22621403000006, 2
389, 86, -42, 33.20373407, 2
357, 79, -41, 55.37662812499987, 3
266, 58, -42, 13.698404605000013, 1
317, 70, -40, 21.200170185, 1
417, 94, -40, 64.09094348000006, 3
397, 88, -40, 43.006802915, 3
401, 90, -38, 32.430684474999964, 2
394, 87, -38, 81.51064595999995, 4
309, 68, -39, 14.70595727000003, 1
314, 69, -38, 39.97518047, 2
362, 81, -38, 13.838057350000003, 1
390, 86, -37, 82.7784146249999, 4
354, 78, -37, 22.37372412500003, 1
263, 57, -38, 18.527029315000014, 1
241, 52, -38, 50.18687449500004, 3
373, 83, -36, 24.10393231000002, 2
326, 72, -35, 22.26535469500001, 1
300, 66, -35, 46.37691710500003, 3
